berthage,section
201124,荔园路(蛇口西段)
204078,创业路(南油段)
204129,创业路(南油段)
204183,海德二道（南油段）
205098,后海大道辅道(后海段)
201198,招商路(蛇口西段)
202304,海月路(东段)
203291,荔园路(蛇口东段)
201159,荔园路(蛇口西段)
201168,荔园路(蛇口西段)
203290,荔园路(蛇口东段)
203296,荔园路(蛇口东段)
201183,招商路(蛇口西段)
201246,招商路(蛇口西段)
202207,金世纪路
203258,荔园路(蛇口东段)
205032,后海大道辅道(后海段)
205044,后海大道辅道(后海段)
201201,招商路(蛇口西段)
203350,工业九路
201126,荔园路(蛇口西段)
201167,荔园路(蛇口西段)
201174,荔园路(蛇口西段)
204202,海德二道（南油段）
201193,招商路(蛇口西段)
203368,工业九路
205081,后海大道辅道(后海段)
203279,荔园路(蛇口东段)
204009,南新路
204010,南新路
201218,招商路(蛇口西段)
203013,四海路
203366,工业九路
203374,工业九路
204208,海德二道（南油段）
205048,后海大道辅道(后海段)
203005,四海路
204123,创业路(南油段)
201097,荔园路(蛇口西段)
203021,四海路
203043,四海路
201199,招商路(蛇口西段)
203353,工业九路
201186,招商路(蛇口西段)
202235,金世纪路
203045,四海路
203360,工业九路
204090,创业路(南油段)
205049,后海大道辅道(后海段)
201112,荔园路(蛇口西段)
201235,招商路(蛇口西段)
203124,后海大道辅道(蛇口北段)
204181,海德二道（南油段）
204213,海德二道（南油段）
204137,创业路(南油段)
205037,后海大道辅道(后海段)
204126,创业路(南油段)
203299,荔园路(蛇口东段)
204114,创业路(南油段)
203063,后海大道辅道(蛇口北段)
201215,招商路(蛇口西段)
202216,金世纪路
203101,后海大道辅道(蛇口北段)
205080,后海大道辅道(后海段)
201116,荔园路(蛇口西段)
203031,四海路
204205,海德二道（南油段）
201153,荔园路(蛇口西段)
203106,后海大道辅道(蛇口北段)
205065,后海大道辅道(后海段)
201130,荔园路(蛇口西段)
201240,招商路(蛇口西段)
203282,荔园路(蛇口东段)
203268,荔园路(蛇口东段)
204091,创业路(南油段)
201117,荔园路(蛇口西段)
201160,荔园路(蛇口西段)
203380,工业九路
204064,创业路(南油段)
204188,海德二道（南油段）
201148,荔园路(蛇口西段)
201185,招商路(蛇口西段)
201128,荔园路(蛇口西段)
201157,荔园路(蛇口西段)
205045,后海大道辅道(后海段)
204119,创业路(南油段)
204194,海德二道（南油段）
204218,海德二道（南油段）
203264,荔园路(蛇口东段)
203376,工业九路
201156,荔园路(蛇口西段)
201203,招商路(蛇口西段)
203300,荔园路(蛇口东段)
204068,创业路(南油段)
201151,荔园路(蛇口西段)
202302,海月路(东段)
203036,四海路
203048,四海路
203266,荔园路(蛇口东段)
201234,招商路(蛇口西段)
202315,海月路(东段)
204065,创业路(南油段)
204138,创业路(南油段)
201154,荔园路(蛇口西段)
203006,四海路
204135,创业路(南油段)
202309,海月路(东段)
203012,四海路
204083,创业路(南油段)
201233,招商路(蛇口西段)
205028,后海大道辅道(后海段)
204192,海德二道（南油段）
203112,后海大道辅道(蛇口北段)
204098,创业路(南油段)
204195,海德二道（南油段）
205089,后海大道辅道(后海段)
203066,后海大道辅道(蛇口北段)
203072,后海大道辅道(蛇口北段)
204139,创业路(南油段)
205067,后海大道辅道(后海段)
205068,后海大道辅道(后海段)
201141,荔园路(蛇口西段)
203289,荔园路(蛇口东段)
204045,南新路
201196,招商路(蛇口西段)
205093,后海大道辅道(后海段)
201205,招商路(蛇口西段)
203285,荔园路(蛇口东段)
202312,海月路(东段)
204203,海德二道（南油段）
201188,招商路(蛇口西段)
202316,海月路(东段)
201231,招商路(蛇口西段)
203024,四海路
204174,海德二道（南油段）
203020,四海路
204191,海德二道（南油段）
204199,海德二道（南油段）
205027,后海大道辅道(后海段)
201173,荔园路(蛇口西段)
203077,后海大道辅道(蛇口北段)
203080,后海大道辅道(蛇口北段)
203370,工业九路
204042,南新路
204134,创业路(南油段)
201158,荔园路(蛇口西段)
201248,招商路(蛇口西段)
203068,后海大道辅道(蛇口北段)
204088,创业路(南油段)
204173,海德二道（南油段）
205021,后海大道辅道(后海段)
202307,海月路(东段)
203333,工业九路
203349,工业九路
205036,后海大道辅道(后海段)
201170,荔园路(蛇口西段)
203117,后海大道辅道(蛇口北段)
203128,后海大道辅道(蛇口北段)
204211,海德二道（南油段）
203055,四海路
203294,荔园路(蛇口东段)
205094,后海大道辅道(后海段)
202217,金世纪路
203356,工业九路
203277,荔园路(蛇口东段)
203028,四海路
201092,荔园路(蛇口西段)
201204,招商路(蛇口西段)
203083,后海大道辅道(蛇口北段)
204215,海德二道（南油段）
203340,工业九路
203104,后海大道辅道(蛇口北段)
204067,创业路(南油段)
205051,后海大道辅道(后海段)
201166,荔园路(蛇口西段)
202232,金世纪路
204081,创业路(南油段)
203019,四海路
203065,后海大道辅道(蛇口北段)
205030,后海大道辅道(后海段)
201200,招商路(蛇口西段)
201247,招商路(蛇口西段)
202215,金世纪路
203358,工业九路
204153,创业路(南油段)
201118,荔园路(蛇口西段)
202210,金世纪路
204101,创业路(南油段)
201245,招商路(蛇口西段)
203269,荔园路(蛇口东段)
201195,招商路(蛇口西段)
201221,招商路(蛇口西段)
202208,金世纪路
203295,荔园路(蛇口东段)
203369,工业九路
201102,荔园路(蛇口西段)
201232,招商路(蛇口西段)
203078,后海大道辅道(蛇口北段)
203111,后海大道辅道(蛇口北段)
203365,工业九路
203015,四海路
203052,四海路
204008,南新路
205040,后海大道辅道(后海段)
201238,招商路(蛇口西段)
203017,四海路
204113,创业路(南油段)
201165,荔园路(蛇口西段)
202234,金世纪路
203362,工业九路
201115,荔园路(蛇口西段)
201230,招商路(蛇口西段)
202318,海月路(东段)
204133,创业路(南油段)
205026,后海大道辅道(后海段)
201111,荔园路(蛇口西段)
201206,招商路(蛇口西段)
203084,后海大道辅道(蛇口北段)
203284,荔园路(蛇口东段)
204172,海德二道（南油段）
204219,海德二道（南油段）
205077,后海大道辅道(后海段)
205086,后海大道辅道(后海段)
201125,荔园路(蛇口西段)
201212,招商路(蛇口西段)
203283,荔园路(蛇口东段)
204196,海德二道（南油段）
201143,荔园路(蛇口西段)
204216,海德二道（南油段）
205039,后海大道辅道(后海段)
203025,四海路
205092,后海大道辅道(后海段)
203379,工业九路
204047,南新路
204209,海德二道（南油段）
203123,后海大道辅道(蛇口北段)
204087,创业路(南油段)
204136,创业路(南油段)
204156,创业路(南油段)
202219,金世纪路
202303,海月路(东段)
204158,创业路(南油段)
204180,海德二道（南油段）
202319,海月路(东段)
203061,后海大道辅道(蛇口北段)
203127,后海大道辅道(蛇口北段)
204179,海德二道（南油段）
201239,招商路(蛇口西段)
204001,南新路
205074,后海大道辅道(后海段)
203027,四海路
201145,荔园路(蛇口西段)
201211,招商路(蛇口西段)
203002,四海路
204178,海德二道（南油段）
204095,创业路(南油段)
203074,后海大道辅道(蛇口北段)
204185,海德二道（南油段）
203029,四海路
203254,荔园路(蛇口东段)
203265,荔园路(蛇口东段)
203354,工业九路
203377,工业九路
204198,海德二道（南油段）
201181,招商路(蛇口西段)
204204,海德二道（南油段）
205023,后海大道辅道(后海段)
205024,后海大道辅道(后海段)
205035,后海大道辅道(后海段)
205064,后海大道辅道(后海段)
201171,荔园路(蛇口西段)
203301,荔园路(蛇口东段)
204063,创业路(南油段)
201121,荔园路(蛇口西段)
201119,荔园路(蛇口西段)
202221,金世纪路
203273,荔园路(蛇口东段)
203367,工业九路
204011,南新路
204117,创业路(南油段)
204206,海德二道（南油段）
205066,后海大道辅道(后海段)
201236,招商路(蛇口西段)
203090,后海大道辅道(蛇口北段)
205082,后海大道辅道(后海段)
201095,荔园路(蛇口西段)
201161,荔园路(蛇口西段)
204044,南新路
201147,荔园路(蛇口西段)
203122,后海大道辅道(蛇口北段)
203257,荔园路(蛇口东段)
205043,后海大道辅道(后海段)
201113,荔园路(蛇口西段)
201220,招商路(蛇口西段)
201227,招商路(蛇口西段)
202308,海月路(东段)
203075,后海大道辅道(蛇口北段)
203375,工业九路
204092,创业路(南油段)
203335,工业九路
205091,后海大道辅道(后海段)
201229,招商路(蛇口西段)
203041,四海路
203318,荔园路(蛇口东段)
205034,后海大道辅道(后海段)
201103,荔园路(蛇口西段)
202220,金世纪路
202310,海月路(东段)
201163,荔园路(蛇口西段)
203007,四海路
203252,荔园路(蛇口东段)
204186,海德二道（南油段）
201132,荔园路(蛇口西段)
202301,海月路(东段)
203034,四海路
203081,后海大道辅道(蛇口北段)
204157,创业路(南油段)
201189,招商路(蛇口西段)
203352,工业九路
202213,金世纪路
203008,四海路
203351,工业九路
204046,南新路
205070,后海大道辅道(后海段)
201098,荔园路(蛇口西段)
204128,创业路(南油段)
205053,后海大道辅道(后海段)
204062,创业路(南油段)
204003,南新路
204096,创业路(南油段)
201127,荔园路(蛇口西段)
203109,后海大道辅道(蛇口北段)
203118,后海大道辅道(蛇口北段)
201100,荔园路(蛇口西段)
203346,工业九路
204007,南新路
203115,后海大道辅道(蛇口北段)
203298,荔园路(蛇口东段)
203345,工业九路
204066,创业路(南油段)
203342,工业九路
205042,后海大道辅道(后海段)
203076,后海大道辅道(蛇口北段)
203089,后海大道辅道(蛇口北段)
204014,南新路
204076,创业路(南油段)
201129,荔园路(蛇口西段)
202314,海月路(东段)
203004,四海路
203038,四海路
203276,荔园路(蛇口东段)
203302,荔园路(蛇口东段)
204084,创业路(南油段)
201202,招商路(蛇口西段)
202305,海月路(东段)
203262,荔园路(蛇口东段)
203347,工业九路
204182,海德二道（南油段）
205025,后海大道辅道(后海段)
201225,招商路(蛇口西段)
203067,后海大道辅道(蛇口北段)
204013,南新路
204212,海德二道（南油段）
203035,四海路
203062,后海大道辅道(蛇口北段)
204082,创业路(南油段)
201144,荔园路(蛇口西段)
201191,招商路(蛇口西段)
203373,工业九路
201155,荔园路(蛇口西段)
201172,荔园路(蛇口西段)
203009,四海路
204175,海德二道（南油段）
205052,后海大道辅道(后海段)
203030,四海路
203253,荔园路(蛇口东段)
204154,创业路(南油段)
205078,后海大道辅道(后海段)
203274,荔园路(蛇口东段)
203357,工业九路
203014,四海路
203046,四海路
203050,四海路
204005,南新路
204112,创业路(南油段)
203267,荔园路(蛇口东段)
203378,工业九路
204121,创业路(南油段)
205083,后海大道辅道(后海段)
205090,后海大道辅道(后海段)
204118,创业路(南油段)
205038,后海大道辅道(后海段)
203051,四海路
203317,荔园路(蛇口东段)
204069,创业路(南油段)
204080,创业路(南油段)
201213,招商路(蛇口西段)
201224,招商路(蛇口西段)
202209,金世纪路
204176,海德二道（南油段）
201091,荔园路(蛇口西段)
201107,荔园路(蛇口西段)
204049,南新路
201216,招商路(蛇口西段)
201164,荔园路(蛇口西段)
203292,荔园路(蛇口东段)
201187,招商路(蛇口西段)
203293,荔园路(蛇口东段)
204131,创业路(南油段)
205097,后海大道辅道(后海段)
201222,招商路(蛇口西段)
205033,后海大道辅道(后海段)
201120,荔园路(蛇口西段)
203263,荔园路(蛇口东段)
204214,海德二道（南油段）
205031,后海大道辅道(后海段)
201094,荔园路(蛇口西段)
203039,四海路
203102,后海大道辅道(蛇口北段)
205041,后海大道辅道(后海段)
203042,四海路
203256,荔园路(蛇口东段)
204004,南新路
204122,创业路(南油段)
202218,金世纪路
203056,四海路
203105,后海大道辅道(蛇口北段)
205087,后海大道辅道(后海段)
203280,荔园路(蛇口东段)
203319,荔园路(蛇口东段)
201228,招商路(蛇口西段)
204097,创业路(南油段)
201192,招商路(蛇口西段)
203044,四海路
203108,后海大道辅道(蛇口北段)
204002,南新路
203088,后海大道辅道(蛇口北段)
204006,南新路
205076,后海大道辅道(后海段)
203087,后海大道辅道(蛇口北段)
203381,工业九路
205047,后海大道辅道(后海段)
203287,荔园路(蛇口东段)
205071,后海大道辅道(后海段)
205096,后海大道辅道(后海段)
202214,金世纪路
204089,创业路(南油段)
205079,后海大道辅道(后海段)
205095,后海大道辅道(后海段)
203070,后海大道辅道(蛇口北段)
203085,后海大道辅道(蛇口北段)
203125,后海大道辅道(蛇口北段)
204115,创业路(南油段)
204189,海德二道（南油段）
203053,四海路
203086,后海大道辅道(蛇口北段)
202212,金世纪路
204099,创业路(南油段)
205072,后海大道辅道(后海段)
201214,招商路(蛇口西段)
201226,招商路(蛇口西段)
203016,四海路
203371,工业九路
204043,南新路
203011,四海路
203073,后海大道辅道(蛇口北段)
203121,后海大道辅道(蛇口北段)
203337,工业九路
203344,工业九路
203355,工业九路
204155,创业路(南油段)
201184,招商路(蛇口西段)
203286,荔园路(蛇口东段)
203359,工业九路
204116,创业路(南油段)
201149,荔园路(蛇口西段)
201237,招商路(蛇口西段)
203054,四海路
203069,后海大道辅道(蛇口北段)
203103,后海大道辅道(蛇口北段)
203119,后海大道辅道(蛇口北段)
203334,工业九路
205085,后海大道辅道(后海段)
201219,招商路(蛇口西段)
203040,四海路
204012,南新路
202311,海月路(东段)
203037,四海路
204085,创业路(南油段)
203278,荔园路(蛇口东段)
204210,海德二道（南油段）
201109,荔园路(蛇口西段)
201114,荔园路(蛇口西段)
203071,后海大道辅道(蛇口北段)
203341,工业九路
204125,创业路(南油段)
204127,创业路(南油段)
204197,海德二道（南油段）
204100,创业路(南油段)
201108,荔园路(蛇口西段)
201194,招商路(蛇口西段)
202313,海月路(东段)
203023,四海路
203022,四海路
203332,工业九路
202211,金世纪路
204015,南新路
203261,荔园路(蛇口东段)
203272,荔园路(蛇口东段)
203338,工业九路
203032,四海路
203107,后海大道辅道(蛇口北段)
204193,海德二道（南油段）
205022,后海大道辅道(后海段)
205050,后海大道辅道(后海段)
201093,荔园路(蛇口西段)
201169,荔园路(蛇口西段)
203116,后海大道辅道(蛇口北段)
203364,工业九路
204077,创业路(南油段)
202233,金世纪路
202306,海月路(东段)
204061,创业路(南油段)
204094,创业路(南油段)
204177,海德二道（南油段）
205075,后海大道辅道(后海段)
203001,四海路
203120,后海大道辅道(蛇口北段)
204159,创业路(南油段)
205088,后海大道辅道(后海段)
205046,后海大道辅道(后海段)
203259,荔园路(蛇口东段)
204111,创业路(南油段)
204130,创业路(南油段)
204184,海德二道（南油段）
205069,后海大道辅道(后海段)
203255,荔园路(蛇口东段)
204201,海德二道（南油段）
201217,招商路(蛇口西段)
202317,海月路(东段)
204086,创业路(南油段)
205084,后海大道辅道(后海段)
203010,四海路
203079,后海大道辅道(蛇口北段)
204048,南新路
201142,荔园路(蛇口西段)
201146,荔园路(蛇口西段)
204132,创业路(南油段)
204093,创业路(南油段)
201099,荔园路(蛇口西段)
203033,四海路
203348,工业九路
203372,工业九路
203049,四海路
203114,后海大道辅道(蛇口北段)
204120,创业路(南油段)
203018,四海路
203288,荔园路(蛇口东段)
204140,创业路(南油段)
203110,后海大道辅道(蛇口北段)
201190,招商路(蛇口西段)
201197,招商路(蛇口西段)
203281,荔园路(蛇口东段)
204207,海德二道（南油段）
201243,招商路(蛇口西段)
203331,工业九路
204217,海德二道（南油段）
201162,荔园路(蛇口西段)
203126,后海大道辅道(蛇口北段)
203260,荔园路(蛇口东段)
205073,后海大道辅道(后海段)
201106,荔园路(蛇口西段)
201131,荔园路(蛇口西段)
201150,荔园路(蛇口西段)
203026,四海路
203361,工业九路
201096,荔园路(蛇口西段)
201244,招商路(蛇口西段)
203270,荔园路(蛇口东段)
204079,创业路(南油段)
203082,后海大道辅道(蛇口北段)
203251,荔园路(蛇口东段)
203297,荔园路(蛇口东段)
203363,工业九路
201105,荔园路(蛇口西段)
201182,招商路(蛇口西段)
203275,荔园路(蛇口东段)
203336,工业九路
203339,工业九路
204124,创业路(南油段)
203003,四海路
203064,后海大道辅道(蛇口北段)
203113,后海大道辅道(蛇口北段)
205111,后海大道辅道(后海段)
208143,文心二路
206066,常兴路
205200,龙城路
206062,常兴路
207002,中心路(后海湾段)
206019,常兴路
206305,南头街
207028,中心路(后海湾段)
207141,海德一道(后海湾段)
205202,龙城路
205151,登良路
205176,龙城路
206296,南头街
207146,海德一道(后海湾段)
206022,常兴路
206030,常兴路
207119,创业路(后海湾段)
208251,文心三路
205130,登良路
206075,常兴路
207058,中心路(后海湾段)
207087,创业路(后海湾段)
207062,中心路(后海湾段)
208146,文心二路
205156,登良路
207153,海德一道(后海湾段)
208263,文心四路
205172,龙城路
208171,文心二路
208173,文心二路
206071,常兴路
208181,文心二路
207059,中心路(后海湾段)
205127,华明路
206095,学府路(前海段)
207032,中心路(后海湾段)
207071,中心路(后海湾段)
208123,文心一路
206099,学府路(前海段)
205194,龙城路
207149,海德一道(后海湾段)
206073,常兴路
206303,南头街
207048,中心路(后海湾段)
208253,文心三路
206072,常兴路
207115,创业路(后海湾段)
208261,文心四路
205102,后海大道辅道(后海段)
206018,常兴路
207013,中心路(后海湾段)
208172,文心二路
208141,文心二路
206290,南头街
207176,海德一道(后海湾段)
206051,常兴路
206103,学府路(前海段)
207003,中心路(后海湾段)
207017,中心路(后海湾段)
205128,华明路
206302,南头街
207009,中心路(后海湾段)
208254,文心三路
206074,常兴路
208154,文心二路
206009,常兴路
207088,创业路(后海湾段)
207147,海德一道(后海湾段)
208101,文心一路
205149,登良路
206097,学府路(前海段)
205134,登良路
205196,龙城路
207116,创业路(后海湾段)
205184,龙城路
206063,常兴路
208108,文心一路
207052,中心路(后海湾段)
205104,后海大道辅道(后海段)
206068,常兴路
208245,文心三路
205183,龙城路
206029,常兴路
206094,学府路(前海段)
206286,南头街
207004,中心路(后海湾段)
207014,中心路(后海湾段)
208243,文心三路
205109,后海大道辅道(后海段)
205154,登良路
205181,龙城路
205187,龙城路
206288,南头街
205157,登良路
205175,龙城路
207144,海德一道(后海湾段)
208136,文心二路
208256,文心三路
205135,登良路
207001,中心路(后海湾段)
207173,海德一道(后海湾段)
205155,登良路
207010,中心路(后海湾段)
207016,中心路(后海湾段)
207025,中心路(后海湾段)
205199,龙城路
206001,常兴路
208106,文心一路
205147,登良路
206070,常兴路
206060,常兴路
207150,海德一道(后海湾段)
207151,海德一道(后海湾段)
207182,海德一道(后海湾段)
208139,文心二路
205141,登良路
205146,登良路
207049,中心路(后海湾段)
208137,文心二路
206053,常兴路
206287,南头街
207072,中心路(后海湾段)
207143,海德一道(后海湾段)
208138,文心二路
208175,文心二路
206013,常兴路
205133,登良路
206010,常兴路
206034,常兴路
206102,学府路(前海段)
205186,龙城路
206005,常兴路
207021,中心路(后海湾段)
207061,中心路(后海湾段)
208241,文心三路
206021,常兴路
208174,文心二路
205107,后海大道辅道(后海段)
205150,登良路
208135,文心二路
208179,文心二路
207178,海德一道(后海湾段)
206008,常兴路
206101,学府路(前海段)
205142,登良路
206031,常兴路
208103,文心一路
208151,文心二路
208264,文心四路
207064,中心路(后海湾段)
207056,中心路(后海湾段)
205105,后海大道辅道(后海段)
205185,龙城路
205145,登良路
205190,龙城路
207179,海德一道(后海湾段)
205177,龙城路
205193,龙城路
207031,中心路(后海湾段)
207065,中心路(后海湾段)
205144,登良路
206285,南头街
207070,中心路(后海湾段)
208105,文心一路
208183,文心二路
206058,常兴路
207051,中心路(后海湾段)
205129,华明路
207068,中心路(后海湾段)
207043,中心路(后海湾段)
208178,文心二路
205171,龙城路
206281,南头街
207041,中心路(后海湾段)
208255,文心三路
206307,南头街
206035,常兴路
207145,海德一道(后海湾段)
206057,常兴路
205179,龙城路
205197,龙城路
207112,创业路(后海湾段)
205178,龙城路
206069,常兴路
206092,学府路(前海段)
208140,文心二路
207069,中心路(后海湾段)
205131,登良路
207174,海德一道(后海湾段)
208107,文心一路
206027,常兴路
206007,常兴路
207171,海德一道(后海湾段)
208153,文心二路
208252,文心三路
205099,后海大道辅道(后海段)
205152,登良路
207114,创业路(后海湾段)
207066,中心路(后海湾段)
206096,学府路(前海段)
206011,常兴路
207053,中心路(后海湾段)
205110,后海大道辅道(后海段)
206055,常兴路
207057,中心路(后海湾段)
207073,中心路(后海湾段)
207029,中心路(后海湾段)
206284,南头街
207047,中心路(后海湾段)
206028,常兴路
206077,常兴路
207007,中心路(后海湾段)
207081,创业路(后海湾段)
208262,文心四路
206059,常兴路
206294,南头街
207086,创业路(后海湾段)
205188,龙城路
205203,龙城路
207042,中心路(后海湾段)
206024,常兴路
207006,中心路(后海湾段)
205139,登良路
206036,常兴路
207045,中心路(后海湾段)
207046,中心路(后海湾段)
207183,海德一道(后海湾段)
205137,登良路
208152,文心二路
207184,海德一道(后海湾段)
206017,常兴路
206104,学府路(前海段)
207026,中心路(后海湾段)
205198,龙城路
206032,常兴路
206093,学府路(前海段)
205153,登良路
208120,文心一路
206015,常兴路
206016,常兴路
208121,文心一路
205180,龙城路
206004,常兴路
206026,常兴路
207005,中心路(后海湾段)
205158,登良路
206067,常兴路
208102,文心一路
205112,后海大道辅道(后海段)
206056,常兴路
205189,龙城路
207175,海德一道(后海湾段)
207044,中心路(后海湾段)
207060,中心路(后海湾段)
205143,登良路
206065,常兴路
206006,常兴路
205182,龙城路
206003,常兴路
205174,龙城路
207050,中心路(后海湾段)
205173,龙城路
206079,常兴路
207019,中心路(后海湾段)
208244,文心三路
207082,创业路(后海湾段)
208182,文心二路
208176,文心二路
205138,登良路
205201,龙城路
206054,常兴路
206283,南头街
205106,后海大道辅道(后海段)
206076,常兴路
206080,常兴路
207152,海德一道(后海湾段)
206025,常兴路
206295,南头街
208104,文心一路
206306,南头街
206308,南头街
207011,中心路(后海湾段)
208142,文心二路
208155,文心二路
207022,中心路(后海湾段)
205108,后海大道辅道(后海段)
207180,海德一道(后海湾段)
208122,文心一路
207181,海德一道(后海湾段)
206078,常兴路
